Grape_Agiorgitiko,Grape_Aglianico,Grape_Airen,Grape_Albarino,Grape_Alicante Bouschet,Grape_Aligoté,Grape_Alvarinho,Grape_Arinto,Grape_Assyrtiko,Grape_Bacchus,Grape_Barbera,Grape_Black Muscat,Grape_Cabernet Franc,Grape_Cabernet Sauvignon,Grape_Carignan,Grape_Carménère,Grape_Castelão ,Grape_Chardonnay,Grape_Chenin Blanc,Grape_Cinsault,Grape_Colombard,Grape_Cortese,Grape_Corvina,Grape_Dolcetto,Grape_Falanghina,Grape_Fernão Pires,Grape_Feteasca Alba,Grape_Fiano,Grape_Furmint,Grape_Gamay,Grape_Garganega,Grape_Garnacha,Grape_Gewürztraminer,Grape_Glera,Grape_Godello,Grape_Greco,Grape_Grenache,Grape_Grenache Blanc,Grape_Grillo,Grape_Grolleau,Grape_Gruner Veltliner,Grape_Huxelrebe,Grape_Inzolia,Grape_Jacquere,Grape_Lambrusco Grasparossa,Grape_Loureiro,Grape_Macabeo,Grape_Malagousia,Grape_Malbec,Grape_Malvasia,Grape_Marsanne,Grape_Mauzac,Grape_Melon De Bourgogne,Grape_Mencia,Grape_Merlot,Grape_Monastrell,Grape_Montepulciano,Grape_Moscato,Grape_Mourvèdre,Grape_Muscat,Grape_Nebbiolo,Grape_Negroamaro,Grape_Nerello,Grape_Nerello Mascalese,Grape_Nero D'Avola,Grape_Niellucciu,Grape_Non Varietal,Grape_Pais,Grape_Palomino,Grape_Pecorino,Grape_Pedro Ximénez,Grape_Picpoul,Grape_Pinot Blanc,Grape_Pinot Grigio,Grape_Pinot Gris,Grape_Pinot Meunier,Grape_Pinot Noir,Grape_Pinotage,Grape_Primitivo,Grape_Rara Neagra,Grape_Riesling,Grape_Rkatsiteli,Grape_Rolle,Grape_Rondinella,Grape_Roussanne,Grape_Sangiovese,Grape_Saperavi,Grape_Sauvignon Blanc,Grape_Sauvignon Gris,Grape_Shiraz,Grape_Siegerrebe,Grape_Syrah,Grape_Syrah-Shiraz,Grape_Sémillon,Grape_Tempranillo,Grape_Tibouren,Grape_Tinta Barroca,Grape_Tinta Roriz,Grape_Torrontes,Grape_Touriga Franca,Grape_Touriga Nacional,Grape_Trincadeira,Grape_Turbiana,Grape_Verdejo,Grape_Verdicchio,Grape_Vermentino,Grape_Vespaiola,Grape_Viognier,Grape_Viura,Grape_Xarel-Lo,Grape_Xinomavro,Grape_Zinfandel,Grape_Zwieigelt,Closure_Natural Cork,Closure_Screwcap,Closure_Synthetic Cork,Closure_Vinolok,Country_Argentina,Country_Australia,Country_Austria,Country_Bulgaria,Country_Chile,Country_England,Country_France,Country_Georgia,Country_Germany,Country_Greece,Country_Hungary,Country_Italy,Country_Lebanon,Country_Mexico,Country_Moldova,Country_New Zealand,Country_Portugal,Country_Romania,Country_Scotland,Country_Serbia,Country_Slovenia,Country_South Africa,Country_Spain,Country_USA,Country_United Kingdom,Type_Brown,Type_Orange,Type_Red,Type_Rosé,Type_Tawny,Type_White,Region_Abruzzo,Region_Aconcagua,Region_Alentejo,Region_Alsace,Region_Aragon,Region_Australia,Region_Austria,Region_Basilicata,Region_Beaujolais,Region_Bordeaux,Region_Bourgogne,Region_Bulgaria,Region_Burgundy,Region_California,Region_Campania,Region_Castilla Y León,Region_Castilla-La Mancha,Region_Catalunya,Region_Central Otago,Region_Central Valley,Region_Chile,Region_Coastal,Region_Constantia,Region_Corsica,Region_Dao,Region_Dordogne,Region_Douro,Region_Elgin,Region_Franschhoek,Region_Galicia,Region_Georgia,Region_Germany,Region_Gisborne,Region_Greece,Region_Hampshire,Region_Hawkes Bay,Region_Hungary,Region_Italy,Region_Jura & Savoie,Region_Kent,Region_Kvareli,Region_La Rioja,Region_Languedoc-Roussillon,Region_Le Marche,Region_Lebanon,Region_Limoux,Region_Lisboa,Region_Loire,Region_Lombardy,Region_Marlborough,Region_Martinborough,Region_Mendoza,Region_Moldova,Region_Nelson,Region_New South Wales,Region_North,Region_Oregon,Region_Other France,Region_Península De Setúbal,Region_Piedmont,Region_Prosecco Doc,Region_Prosecco Docg,Region_Provence,Region_Puglia,Region_Rhône,Region_Rioja And Navarra,Region_Robertson,Region_Romania,Region_San Juan,Region_Sardinia,Region_Serbia,Region_Sicily,Region_Slovenia,Region_South Australia,Region_South East Australia,Region_Stellenbosch,Region_Surrey,Region_Sussex,Region_Sw France (Ec. Boredeaux),Region_Swartland,Region_Tasmania,Region_Tejo,Region_Trentino Alto Adige,Region_Tuscany,Region_Usa,Region_Valencia And Murcia,Region_Veneto,Region_Victoria,Region_Vinho Verde,Region_Waipara,Region_Walker Bay,Region_Washington State,Region_Western Australia,Region_Western Cape,Price_bin_Price<=15,Price_bin_15<Price<=25,Price_bin_25<Price<=50,Price_bin_Price>50,ABV_bin_ABV<=12.5,ABV_bin_12.5<ABV<=13.5,ABV_bin_13.5<ABV<=14.5,ABV_bin_ABV>14.5,Vintage_bin_Vintage<=2015,Vintage_bin_2015<Vintage<=2020,Vintage_bin_Vintage>2020,Characteristics_Almond,Characteristics_Apricot,Characteristics_Asparagus,Characteristics_Banana,Characteristics_Biscuit,Characteristics_Black Cherry,Characteristics_Black Fruit,Characteristics_Black Pepper,Characteristics_Black Plum,Characteristics_Blackberry,Characteristics_Blackcurrant,Characteristics_Blackcurrant Leaf,Characteristics_Blossom,Characteristics_Blueberry,Characteristics_Bread,Characteristics_Bread Dough,Characteristics_Butter,Characteristics_Candied Fruit,Characteristics_Caramel,Characteristics_Cassis,Characteristics_Cedar,Characteristics_Charred Wood,Characteristics_Chocolate,Characteristics_Cigar Box,Characteristics_Cinnamon,Characteristics_Citrus Fruit,Characteristics_Cloves,Characteristics_Cocoa,Characteristics_Coconut,Characteristics_Coffee,Characteristics_Cooked Fruit,Characteristics_Cranberry,Characteristics_Cream,Characteristics_Damson,Characteristics_Date,Characteristics_Dried Fruit,Characteristics_Dried Herbs,Characteristics_Earth,Characteristics_Elderflower,Characteristics_Eucalyptus,Characteristics_Fennel,Characteristics_Fig,Characteristics_Flint,Characteristics_Floral,Characteristics_Forest Floor,Characteristics_Game,Characteristics_Ginger,Characteristics_Gooseberry,Characteristics_Grape,Characteristics_Grapefruit,Characteristics_Grass,Characteristics_Green Apple,Characteristics_Green Bell Pepper,Characteristics_Green Fruit,Characteristics_Hazelnut,Characteristics_Herbaceous,Characteristics_Herbal,Characteristics_Honey,Characteristics_Honeysuckle,Characteristics_Jammy,Characteristics_Leather,Characteristics_Lemon,Characteristics_Lime,Characteristics_Liquorice,Characteristics_Lychee,Characteristics_Mango,Characteristics_Melon,Characteristics_Mineral,Characteristics_Mint,Characteristics_Mushroom,Characteristics_Nectarine,Characteristics_Nutmeg,Characteristics_Orange,Characteristics_Orange Marmalade,Characteristics_Passionfruit,Characteristics_Pastry,Characteristics_Peach,Characteristics_Pear,Characteristics_Pear Drop,Characteristics_Petrol,Characteristics_Pineapple,Characteristics_Plum,Characteristics_Pomegranate,Characteristics_Prune,Characteristics_Quince,Characteristics_Raisin,Characteristics_Raspberry,Characteristics_Red Apple,Characteristics_Red Cherry,Characteristics_Red Fruit,Characteristics_Red Plum,Characteristics_Redcurrant,Characteristics_Ripe Fruit,Characteristics_Rose,Characteristics_Savoury,Characteristics_Smoke,Characteristics_Sour Cherry,Characteristics_Spice,Characteristics_Stone Fruit,Characteristics_Strawberry,Characteristics_Sweet Spice,Characteristics_Toast,Characteristics_Tobacco,Characteristics_Toffee,Characteristics_Tomato Leaf,Characteristics_Tropical Fruit,Characteristics_Vanilla,Characteristics_Violet,Characteristics_Walnut,Characteristics_Watermelon,Characteristics_Wet Stones,Characteristics_White Pepper,Characteristics_nan,Style_Aromatic,Style_Bold,Style_Crisp,Style_Delicate,Style_Dry,Style_Elegant,Style_Floral,Style_Fresh,Style_Fruity,Style_Full Bodied,Style_Juicy,Style_Light,Style_Mellow,Style_Refreshing,Style_Rich,Style_Ripe,Style_Rounded,Style_Savoury,Style_Smooth,Style_Soft,Style_Spicy,Style_Toasty,Style_Zesty,Style_nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
