Title,Price,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage,Price_bin,ABV_bin,Vintage_bin
"The Guv'nor, Spain",13.32,Tempranillo,Natural Cork,Spain,"{'Blackberry', 'Blackcurrant', 'Vanilla'}",Red,14.0,,"{'Rich', 'Juicy'}",,Price<=15,13.5<ABV<=14.5,
"Bread & Butter 'Winemaker's Selection' Chardonnay 2020/21, California",21.32,Chardonnay,Natural Cork,USA,"{'Green Apple', 'Vanilla', 'Pineapple', 'Stone Fruit', 'Almond', 'Coconut', 'Peach'}",White,13.5,California,"{'Rich', 'Toasty'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Oyster Bay Sauvignon Blanc 2022, Marlborough",16.653333333333332,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Grapefruit', 'Grass', 'Gooseberry', 'Stone Fruit', 'Tropical Fruit'}",White,13.0,Marlborough,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Louis Latour Mâcon-Lugny 2021/22,23.986666666666665,Chardonnay,Natural Cork,France,"{'Lemon', 'Peach', 'Floral', 'Apricot'}",White,13.5,Burgundy,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Bread & Butter 'Winemaker's Selection' Pinot Noir 2021, California",21.32,Pinot Noir,Natural Cork,USA,"{'Smoke', 'Cedar', 'Raspberry', 'Red Fruit', 'Black Cherry'}",Red,13.5,California,"{'Smooth', 'Mellow'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Louis Roederer 'Cristal' Champagne 2015,400.0,Chardonnay,Natural Cork,France,{'nan'},White,12.0,,{'nan'},2015.0,Price>50,ABV<=12.5,Vintage<=2015
"La Gioiosa Prosecco DOC, Treviso",17.32,Glera,Natural Cork,Italy,"{'Green Apple', 'Citrus Fruit', 'Floral'}",White,11.0,Prosecco Doc,"{'Refreshing', 'Light'}",,15<Price<=25,ABV<=12.5,
The Macallan Sherry Oak 12 Year Old Single Malt Whisky 70cl,114.28571428571428,,Natural Cork,Scotland,{'nan'},Brown,40.0,,{'nan'},,Price>50,,
Bouvet Ladubay Saumur Brut,18.653333333333332,Chenin Blanc,Natural Cork,France,"{'Honeysuckle', 'Citrus Fruit'}",White,12.5,Loire,"{'Rich', 'Toasty'}",,15<Price<=25,ABV<=12.5,
"LB7 Red 2020/21, Lisbon",11.986666666666666,Castelão ,Natural Cork,Portugal,"{'Blackberry', 'Black Fruit', 'Black Plum', 'Spice'}",Red,13.5,Lisboa,"{'Rich', 'Juicy'}",2021.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"The Ned 'Waihopai River' Sauvignon Blanc 2023, Marlborough",15.986666666666666,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Grapefruit', 'Grass', 'Gooseberry', 'Tropical Fruit'}",White,13.0,Marlborough,"{'Zesty', 'Crisp'}",2023.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Moët & Chandon 'Brut Impérial' Champagne,62.653333333333336,Chardonnay,Natural Cork,France,"{'Biscuit', 'Citrus Fruit', 'Bread'}",White,12.0,,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
"Chosen By Majestic Greek White 2022, Peloponnese",15.053333333333333,Malagousia,Screwcap,Greece,"{'Lemon', 'Blossom', 'Pear', 'Lime', 'Peach'}",White,13.0,Greece,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Miraval Rosé 2021/22, Côtes de Provence",30.653333333333332,Cinsault,Natural Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
Taittinger Brut Réserve Champagne,61.32,Chardonnay,Natural Cork,France,{'nan'},White,12.5,,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
"Peyrassol 'Réserve des Templiers' Rosé 2022, Côtes de Provence",21.32,Cinsault,Natural Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Laurent-Perrier 'La Cuvée' Brut Champagne,66.65333333333334,Chardonnay,Natural Cork,France,"{'Green Apple', 'Biscuit', 'Citrus Fruit', 'Bread'}",White,12.0,,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
Heidsieck & Co. Monopole 'Gold Top' Champagne 2018,45.32,Chardonnay,Natural Cork,France,"{'Green Apple', 'Lemon', 'Red Apple', 'Pear', 'Cream', 'Quince', 'Biscuit'}",White,12.5,,"{'Rich', 'Toasty'}",2018.0,25<Price<=50,ABV<=12.5,2015<Vintage<=2020
"Caves d'Esclans 'Whispering Angel' Rosé 2022, Côtes de Provence",31.986666666666665,Grenache,Natural Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.5,Provence,"{'Delicate', 'Dry'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Two Hands 'Angels' Share' Shiraz 2021/22, McLaren Vale",29.319999999999997,Shiraz,Screwcap,Australia,"{'Jammy', 'Blueberry', 'Red Plum', 'Black Pepper', 'Blackcurrant', 'Raisin', 'Vanilla', 'Red Fruit', 'Black Fruit', 'Coffee'}",Red,14.4,South Australia,"{'Bold', 'Spicy'}",2022.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2021/22,21.32,Chardonnay,Screwcap,France,"{'Lemon', 'Honey', 'Apricot', 'Floral', 'Peach'}",White,13.0,Burgundy,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Villa Maria 'Private Bin' Sauvignon Blanc 2022, Marlborough",16.653333333333332,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Grapefruit', 'Grass', 'Gooseberry', 'Stone Fruit', 'Tropical Fruit'}",White,12.5,Marlborough,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Nyetimber 'Classic Cuvée' Brut, Sussex",57.32,Chardonnay,Natural Cork,England,"{'Green Apple', 'Bread', 'Citrus Fruit', 'Biscuit', 'Peach'}",White,12.0,Sussex,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
La Gioiosa Prosecco Valdobbiadene DOCG,21.32,Glera,Natural Cork,Italy,"{'Green Apple', 'Pear', 'Citrus Fruit', 'Floral'}",White,11.0,Prosecco Docg,"{'Fruity', 'Crisp'}",,15<Price<=25,ABV<=12.5,
"Definition English Sparkling Brut, Hampshire",39.986666666666665,Chardonnay,Natural Cork,England,"{'Green Apple', 'Cream', 'Citrus Fruit', 'Pastry'}",White,12.0,Hampshire,"{'Fruity', 'Crisp'}",,25<Price<=50,ABV<=12.5,
