year;Alsace;Auvergne;Auxerre-Avalon;Beaujolais and Maconnais;Bordeaux;Burgundy;Champagne;Gaillac- South-West;Germany;High Loire Valley;Ile de France;Jura;Languedoc;Low Loire Valley;Luxembourg;Maritime alps;Northern Italy;Northern Lorraine;Northern Rhone Valley;Savoie;Southern Lorraine;Southern Rhone Valley;Spain;Switzerland (Leman Lake);Various South-East;Vendée - Poitou Charente
1354;;;;;;15.3000;;;;;;;;;;;;;;;;;;;;
1355;;;;;;13.4000;;;;;;;;;;;;;;;;;;;;
1357;;;;;;18.3000;;;;;;;;;;;;;;;;;;;;
1372;;;;;;26.5000;;;;;;;;;;;;;;;;;;;;
1373;;;;;;18.1000;;;;;;;;;;;;;;;;;;;;
1374;;;;;;27.3000;;;;;;;;;;;;;;;;;;;;
1375;;;;;;19.5000;;;;;;;;;;;;;;;;;;;;
1376;;;;;;22.8000;;;;;;;;;;;;;;;;;;;;
1378;;;;;;22.9000;;;;;;;;;;;;;;;;;;;;
1379;;;;;;22.3000;;;;;;;;;;;;;;;;;;;;
1380;;;;;;19.8000;;;;;;;;;;;;;;;;;;;;
1381;;;;;;21.3000;;;;;;;;;;;;;;;;;;;;
1382;;;;;;14.4000;;;;;;;;;;;;;;;;;;;;
1383;;;;;;4.8000;;;;;;;;;;;;;;;;;;;;
1384;;;;;;6.3000;;;;;;;;;;;;;;;;;;;;
1385;;;;;;9.5000;;;;;;;;;;;;;;;;;;;;
1386;;;;;;18.1000;;;;;;;;;;;;;;;;;;;;
1387;;;;;;19.6000;;;;;;;;;;;;;;;;;;;;
1388;;;;;;26.1000;;;;;;;;;;;;;;;;;;;;
1389;;;;;;24.6000;;;;;;;;;;;;;;;;;;;;
1390;;;;;;14.6000;;;;;;;;;;;;;;;;;;;;
1391;;;;;;14.1000;;;;;;;;;;;;;;;;;;;;
1392;;;;;;37.9000;;;;;;;;;;;;;;;;;;;;
1393;;;;;;1.3000;;;;;;;;;;;;;;;;;;;;
1394;;;;;;31.0000;;;;;;;;;;;;;;;;;;;;
1397;;;;;;12.0000;;;;;;;;;;;;;;;;;;;;
1398;;;;;;27.0000;;;;;;;;;;;;;;;;;;;;
