,{},"{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Merlot', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Shiraz', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}"
0,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1
6,1,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1
12,1,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1,1,1,1
15,1,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,0,0,1
19,1,1,1,0,1,1,0,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1
23,1,0,0,0,0,0,0,0,0,0,0
24,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,0,0,1
28,1,1,1,1,1,1,1,1,0,0,1
29,1,1,1,1,1,0,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,0,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,0
35,1,0,0,0,0,0,0,0,0,0,0
36,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,0,0,1
38,1,1,1,1,1,0,1,1,1,1,1
39,1,1,1,1,1,1,1,1,0,0,1
40,1,0,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0
42,1,1,1,1,1,1,1,1,0,1,1
43,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1
45,1,0,0,0,0,0,0,0,0,0,0
46,1,1,1,1,1,1,1,1,0,1,1
47,1,1,1,1,1,1,1,1,1,1,1
48,1,1,0,1,1,1,0,0,1,1,1
49,1,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0
51,1,1,1,1,1,1,1,1,0,0,1
52,1,1,1,1,0,1,1,0,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,0,1,1,0,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1
57,1,0,0,0,0,0,0,0,0,0,0
58,1,1,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1
62,1,0,0,0,0,0,0,0,0,0,0
63,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,0
65,1,1,1,1,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1,1,1,1,1
67,1,0,0,0,0,0,0,0,0,0,0
68,1,0,0,0,0,0,0,0,0,0,0
69,1,0,0,0,0,0,0,0,0,0,0
70,1,1,1,0,1,1,0,1,1,1,1
71,1,0,0,0,0,0,0,0,0,0,0
72,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,1,0
75,1,1,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,1,1,1
77,1,0,0,0,0,0,0,0,0,0,0
78,1,1,1,0,1,1,0,1,1,1,1
79,1,1,1,1,1,0,1,1,1,1,1
80,1,0,0,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0,0,0,0
82,1,1,1,1,1,1,1,1,1,1,1
83,1,0,0,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,1,1,1,1,0,0,1
87,1,1,1,1,1,1,1,1,1,1,0
88,1,1,1,1,0,1,1,0,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1
90,1,0,0,0,0,0,0,0,0,0,0
91,1,1,1,1,1,1,1,1,1,0,1
