support,itemsets
0.1012909632571996,frozenset({'Pair_Aperitif'})
0.551142005958292,frozenset({'Pair_Beef'})
0.022840119165839126,frozenset({'Pair_Blue Cheese'})
0.11420059582919563,frozenset({'Pair_Cured Meat'})
0.3515392254220457,frozenset({'Pair_Game Meat'})
0.04270109235352532,frozenset({'Pair_Goat Cheese'})
0.11618669314796425,frozenset({'Pair_Hard Cheese'})
0.40615690168818275,frozenset({'Pair_Lamb'})
0.07845084409136048,frozenset({'Pair_Lean Fish'})
0.12611717974180736,frozenset({'Pair_Maturated Cheese'})
0.15690168818272096,frozenset({'Pair_Pasta'})
0.26216484607745777,frozenset({'Pair_Pork'})
0.5779543197616683,frozenset({'Pair_Poultry'})
0.16385302879841113,frozenset({'Pair_Rich Fish'})
0.2542204568023833,frozenset({'Pair_Shellfish'})
0.08540218470705065,frozenset({'Pair_Snack'})
0.08440913604766634,frozenset({'Pair_Soft Cheese'})
0.141012909632572,frozenset({'Pair_Spicy Food'})
0.047666335650446874,frozenset({'Pair_Sweet Dessert'})
0.1936444885799404,frozenset({'Pair_Veal'})
0.17676266137040714,frozenset({'Pair_Vegetarian'})
0.7348560079443893,frozenset({'Acid_High'})
0.24726911618669314,frozenset({'Acid_Medium'})
0.38927507447864945,frozenset({'Body_Full-bodied'})
0.11717974180734857,frozenset({'Body_Light-bodied'})
0.3455809334657398,frozenset({'Body_Medium-bodied'})
0.13306852035749753,frozenset({'Body_Very full-bodied'})
0.028798411122144985,"frozenset({'Pair_Cured Meat', 'Pair_Aperitif'})"
0.0407149950347567,"frozenset({'Pair_Lean Fish', 'Pair_Aperitif'})"
0.06156901688182721,"frozenset({'Pair_Aperitif', 'Pair_Shellfish'})"
0.08341608738828203,"frozenset({'Pair_Snack', 'Pair_Aperitif'})"
0.044687189672293945,"frozenset({'Pair_Aperitif', 'Pair_Vegetarian'})"
0.0804369414101291,"frozenset({'Pair_Aperitif', 'Acid_High'})"
0.020854021847070508,"frozenset({'Acid_Medium', 'Pair_Aperitif'})"
0.029791459781529295,"frozenset({'Pair_Aperitif', 'Body_Light-bodied'})"
0.04667328699106256,"frozenset({'Body_Medium-bodied', 'Pair_Aperitif'})"
0.3138033763654419,"frozenset({'Pair_Beef', 'Pair_Game Meat'})"
0.08937437934458789,"frozenset({'Pair_Beef', 'Pair_Hard Cheese'})"
0.39821251241310823,"frozenset({'Pair_Beef', 'Pair_Lamb'})"
0.09731876861966236,"frozenset({'Pair_Beef', 'Pair_Maturated Cheese'})"
0.09632571996027806,"frozenset({'Pair_Pasta', 'Pair_Beef'})"
0.03574975173783516,"frozenset({'Pair_Beef', 'Pair_Pork'})"
0.3872889771598808,"frozenset({'Pair_Beef', 'Pair_Poultry'})"
0.06355511420059583,"frozenset({'Pair_Beef', 'Pair_Spicy Food'})"
0.15590863952333664,"frozenset({'Pair_Beef', 'Pair_Veal'})"
0.394240317775571,"frozenset({'Pair_Beef', 'Acid_High'})"
0.14597815292949354,"frozenset({'Pair_Beef', 'Acid_Medium'})"
0.2869910625620655,"frozenset({'Pair_Beef', 'Body_Full-bodied'})"
0.12313803376365443,"frozenset({'Pair_Beef', 'Body_Medium-bodied'})"
0.1211519364448858,"frozenset({'Body_Very full-bodied', 'Pair_Beef'})"
0.021847070506454815,"frozenset({'Pair_Cured Meat', 'Pair_Hard Cheese'})"
0.031777557100297914,"frozenset({'Pair_Cured Meat', 'Pair_Lean Fish'})"
0.022840119165839126,"frozenset({'Pair_Cured Meat', 'Pair_Maturated Cheese'})"
0.029791459781529295,"frozenset({'Pair_Pasta', 'Pair_Cured Meat'})"
0.05362462760675273,"frozenset({'Pair_Pork', 'Pair_Cured Meat'})"
0.05858987090367428,"frozenset({'Pair_Cured Meat', 'Pair_Poultry'})"
0.07547169811320754,"frozenset({'Pair_Cured Meat', 'Pair_Shellfish'})"
0.027805362462760674,"frozenset({'Pair_Snack', 'Pair_Cured Meat'})"
0.038728897715988087,"frozenset({'Pair_Cured Meat', 'Pair_Spicy Food'})"
0.020854021847070508,"frozenset({'Pair_Cured Meat', 'Pair_Vegetarian'})"
0.09235352532274081,"frozenset({'Pair_Cured Meat', 'Acid_High'})"
0.021847070506454815,"frozenset({'Acid_Medium', 'Pair_Cured Meat'})"
0.04270109235352532,"frozenset({'Pair_Cured Meat', 'Body_Light-bodied'})"
0.04568023833167825,"frozenset({'Body_Medium-bodied', 'Pair_Cured Meat'})"
0.03574975173783516,"frozenset({'Pair_Game Meat', 'Pair_Hard Cheese'})"
0.22840119165839126,"frozenset({'Pair_Game Meat', 'Pair_Lamb'})"
0.041708043694141016,"frozenset({'Pair_Game Meat', 'Pair_Maturated Cheese'})"
0.05660377358490566,"frozenset({'Pair_Pasta', 'Pair_Game Meat'})"
0.05660377358490566,"frozenset({'Pair_Pork', 'Pair_Game Meat'})"
0.2631578947368421,"frozenset({'Pair_Game Meat', 'Pair_Poultry'})"
0.021847070506454815,"frozenset({'Pair_Rich Fish', 'Pair_Game Meat'})"
0.023833167825223437,"frozenset({'Pair_Game Meat', 'Pair_Spicy Food'})"
0.10228401191658391,"frozenset({'Pair_Veal', 'Pair_Game Meat'})"
0.24031777557100298,"frozenset({'Pair_Game Meat', 'Acid_High'})"
0.10724925521350546,"frozenset({'Acid_Medium', 'Pair_Game Meat'})"
0.1727904667328699,"frozenset({'Pair_Game Meat', 'Body_Full-bodied'})"
0.0903674280039722,"frozenset({'Body_Medium-bodied', 'Pair_Game Meat'})"
0.070506454816286,"frozenset({'Body_Very full-bodied', 'Pair_Game Meat'})"
0.0407149950347567,"frozenset({'Pair_Shellfish', 'Pair_Goat Cheese'})"
0.039721946375372394,"frozenset({'Pair_Vegetarian', 'Pair_Goat Cheese'})"
0.041708043694141016,"frozenset({'Acid_High', 'Pair_Goat Cheese'})"
0.05958291956305859,"frozenset({'Pair_Lamb', 'Pair_Hard Cheese'})"
0.11519364448857994,"frozenset({'Pair_Maturated Cheese', 'Pair_Hard Cheese'})"
0.04667328699106256,"frozenset({'Pair_Poultry', 'Pair_Hard Cheese'})"
0.031777557100297914,"frozenset({'Pair_Spicy Food', 'Pair_Hard Cheese'})"
0.05660377358490566,"frozenset({'Acid_High', 'Pair_Hard Cheese'})"
0.05461767626613704,"frozenset({'Acid_Medium', 'Pair_Hard Cheese'})"
0.030784508440913606,"frozenset({'Pair_Hard Cheese', 'Body_Full-bodied'})"
0.041708043694141016,"frozenset({'Body_Medium-bodied', 'Pair_Hard Cheese'})"
0.038728897715988087,"frozenset({'Body_Very full-bodied', 'Pair_Hard Cheese'})"
0.06454816285998013,"frozenset({'Pair_Lamb', 'Pair_Maturated Cheese'})"
