antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Body_Very full-bodied', 'Pair_Game Meat', 'Pair_Pasta', 'Pair_Lamb'})",frozenset({'Acid_High'}),0.026812313803376366,0.7348560079443893,0.026812313803376366,1.0,1.3608108108108108,1.0,0.007109123918074965,inf,0.2724489795918367,0.03648648648648649,1.0,0.5182432432432432
"frozenset({'Pair_Vegetarian', 'Pair_Goat Cheese', 'Pair_Shellfish'})",frozenset({'Acid_High'}),0.039721946375372394,0.7348560079443893,0.039721946375372394,1.0,1.3608108108108108,1.0,0.010532035434185131,inf,0.27611168562564625,0.05405405405405405,1.0,0.527027027027027
"frozenset({'Pair_Pork', 'Pair_Cured Meat', 'Pair_Shellfish', 'Pair_Poultry'})",frozenset({'Acid_High'}),0.03773584905660377,0.7348560079443893,0.03773584905660377,1.0,1.3608108108108108,1.0,0.010005433662475874,inf,0.27554179566563464,0.05135135135135135,1.0,0.5256756756756756
"frozenset({'Pair_Pasta', 'Pair_Lamb', 'Pair_Poultry'})",frozenset({'Acid_High'}),0.024826216484607744,0.7348560079443893,0.024826216484607744,1.0,1.3608108108108108,1.0,0.006582522146365708,inf,0.27189409368635437,0.03378378378378378,1.0,0.5168918918918919
"frozenset({'Pair_Cured Meat', 'Body_Light-bodied', 'Pair_Spicy Food', 'Pair_Shellfish'})",frozenset({'Acid_High'}),0.030784508440913606,0.7348560079443893,0.030784508440913606,1.0,1.3608108108108108,1.0,0.008162327461493476,inf,0.27356557377049173,0.041891891891891894,1.0,0.5209459459459459
"frozenset({'Pair_Snack', 'Pair_Cured Meat', 'Pair_Aperitif'})",frozenset({'Acid_High'}),0.027805362462760674,0.7348560079443893,0.027805362462760674,1.0,1.3608108108108108,1.0,0.007372424803929592,inf,0.2727272727272727,0.03783783783783783,1.0,0.518918918918919
"frozenset({'Pair_Snack', 'Pair_Cured Meat'})","frozenset({'Pair_Aperitif', 'Acid_High'})",0.027805362462760674,0.0804369414101291,0.027805362462760674,1.0,12.4320987654321,1.0,0.025568784151456192,inf,0.9458631256384066,0.345679012345679,1.0,0.6728395061728395
"frozenset({'Pair_Cured Meat', 'Pair_Spicy Food', 'Pair_Shellfish', 'Pair_Poultry'})",frozenset({'Acid_High'}),0.033763654419066536,0.7348560079443893,0.033763654419066536,1.0,1.3608108108108108,1.0,0.008952230119057363,inf,0.2744090441932169,0.04594594594594594,1.0,0.522972972972973
"frozenset({'Pair_Goat Cheese', 'Pair_Vegetarian'})","frozenset({'Acid_High', 'Pair_Shellfish'})",0.039721946375372394,0.22045680238331677,0.039721946375372394,1.0,4.536036036036037,1.0,0.030964973093016216,inf,0.811789038262668,0.1801801801801802,1.0,0.5900900900900901
"frozenset({'Pair_Pork', 'Body_Light-bodied', 'Pair_Shellfish', 'Pair_Poultry', 'Pair_Cured Meat'})",frozenset({'Acid_High'}),0.03475670307845084,0.7348560079443893,0.03475670307845084,1.0,1.3608108108108108,1.0,0.00921553100491199,inf,0.2746913580246913,0.04729729729729729,1.0,0.5236486486486487
"frozenset({'Body_Very full-bodied', 'Pair_Pasta'})","frozenset({'Acid_High', 'Pair_Lamb'})",0.026812313803376366,0.2840119165839126,0.026812313803376366,1.0,3.520979020979021,1.0,0.01919729717203015,inf,0.7357142857142857,0.0944055944055944,1.0,0.5472027972027972
"frozenset({'Pair_Pork', 'Body_Light-bodied', 'Pair_Shellfish', 'Pair_Poultry'})","frozenset({'Pair_Cured Meat', 'Acid_High'})",0.03475670307845084,0.09235352532274081,0.03475670307845084,1.0,10.827956989247312,1.0,0.03154679902056015,inf,0.9403292181069959,0.3763440860215054,1.0,0.6881720430107527
"frozenset({'Pair_Pork', 'Pair_Cured Meat', 'Body_Light-bodied', 'Pair_Shellfish'})","frozenset({'Acid_High', 'Pair_Poultry'})",0.03475670307845084,0.41112214498510424,0.03475670307845084,1.0,2.4323671497584543,1.0,0.020467452756227758,inf,0.610082304526749,0.08454106280193237,1.0,0.5422705314009661
"frozenset({'Pair_Pork', 'Pair_Cured Meat', 'Body_Light-bodied', 'Pair_Poultry'})","frozenset({'Acid_High', 'Pair_Shellfish'})",0.03475670307845084,0.22045680238331677,0.03475670307845084,1.0,4.536036036036037,1.0,0.027094351456389186,inf,0.8076131687242798,0.15765765765765766,1.0,0.5788288288288288
"frozenset({'Body_Very full-bodied', 'Pair_Pasta'})","frozenset({'Pair_Game Meat', 'Acid_High'})",0.026812313803376366,0.24031777557100298,0.026812313803376366,1.0,4.161157024793388,1.0,0.02036883819223726,inf,0.7806122448979592,0.11157024793388431,1.0,0.5557851239669421
"frozenset({'Body_Very full-bodied', 'Pair_Game Meat', 'Pair_Pasta'})",frozenset({'Acid_High'}),0.026812313803376366,0.7348560079443893,0.026812313803376366,1.0,1.3608108108108108,1.0,0.007109123918074965,inf,0.2724489795918367,0.03648648648648649,1.0,0.5182432432432432
"frozenset({'Body_Light-bodied', 'Pair_Spicy Food', 'Pair_Shellfish', 'Pair_Poultry'})","frozenset({'Pair_Pork', 'Acid_High'})",0.030784508440913606,0.18967229394240318,0.030784508440913606,1.0,5.272251308900524,1.0,0.02494554010703625,inf,0.836065573770492,0.16230366492146597,1.0,0.581151832460733
"frozenset({'Pair_Cured Meat', 'Pair_Shellfish', 'Pair_Poultry'})","frozenset({'Pair_Pork', 'Acid_High'})",0.03773584905660377,0.18967229394240318,0.03773584905660377,1.0,5.272251308900524,1.0,0.030578404002173463,inf,0.8421052631578947,0.19895287958115182,1.0,0.5994764397905759
"frozenset({'Body_Very full-bodied', 'Pair_Pasta', 'Pair_Lamb'})",frozenset({'Acid_High'}),0.026812313803376366,0.7348560079443893,0.026812313803376366,1.0,1.3608108108108108,1.0,0.007109123918074965,inf,0.2724489795918367,0.03648648648648649,1.0,0.5182432432432432
"frozenset({'Pair_Cured Meat', 'Body_Light-bodied', 'Pair_Spicy Food'})","frozenset({'Acid_High', 'Pair_Shellfish'})",0.030784508440913606,0.22045680238331677,0.030784508440913606,1.0,4.536036036036037,1.0,0.02399785414708757,inf,0.8043032786885247,0.13963963963963963,1.0,0.5698198198198199
"frozenset({'Body_Very full-bodied', 'Pair_Lamb', 'Pair_Beef', 'Pair_Game Meat', 'Pair_Pasta'})",frozenset({'Acid_High'}),0.026812313803376366,0.7348560079443893,0.026812313803376366,1.0,1.3608108108108108,1.0,0.007109123918074965,inf,0.2724489795918367,0.03648648648648649,1.0,0.5182432432432432
"frozenset({'Body_Very full-bodied', 'Pair_Pasta'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Acid_High', 'Pair_Lamb'})",0.026812313803376366,0.15988083416087387,0.026812313803376366,1.0,6.254658385093168,1.0,0.02252553870670944,inf,0.8632653061224489,0.16770186335403728,1.0,0.5838509316770186
"frozenset({'Body_Very full-bodied', 'Pair_Game Meat', 'Pair_Pasta', 'Pair_Lamb'})","frozenset({'Pair_Beef', 'Acid_High'})",0.026812313803376366,0.394240317775571,0.026812313803376366,1.0,2.536523929471033,1.0,0.016241818689234938,inf,0.6224489795918366,0.06801007556675064,1.0,0.5340050377833753
"frozenset({'Pair_Pasta', 'Pair_Beef', 'Pair_Poultry', 'Body_Full-bodied'})",frozenset({'Acid_High'}),0.028798411122144985,0.7348560079443893,0.028798411122144985,1.0,1.3608108108108108,1.0,0.007635725689784219,inf,0.2730061349693251,0.039189189189189184,1.0,0.5195945945945946
"frozenset({'Body_Very full-bodied', 'Pair_Pasta'})",frozenset({'Acid_High'}),0.026812313803376366,0.7348560079443893,0.026812313803376366,1.0,1.3608108108108108,1.0,0.007109123918074965,inf,0.2724489795918367,0.03648648648648649,1.0,0.5182432432432432
"frozenset({'Body_Very full-bodied', 'Pair_Beef', 'Pair_Game Meat', 'Pair_Pasta'})","frozenset({'Acid_High', 'Pair_Lamb'})",0.026812313803376366,0.2840119165839126,0.026812313803376366,1.0,3.520979020979021,1.0,0.01919729717203015,inf,0.7357142857142857,0.0944055944055944,1.0,0.5472027972027972
"frozenset({'Body_Very full-bodied', 'Pair_Pasta', 'Pair_Lamb'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Acid_High'})",0.026812313803376366,0.22641509433962265,0.026812313803376366,1.0,4.416666666666667,1.0,0.02074160124412134,inf,0.7948979591836735,0.11842105263157897,1.0,0.5592105263157895
"frozenset({'Body_Very full-bodied', 'Pair_Beef', 'Pair_Pasta'})","frozenset({'Pair_Game Meat', 'Acid_High', 'Pair_Lamb'})",0.026812313803376366,0.15988083416087387,0.026812313803376366,1.0,6.254658385093168,1.0,0.02252553870670944,inf,0.8632653061224489,0.16770186335403728,1.0,0.5838509316770186
