antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Game Meat', 'Pair_Hard Cheese'})",0.038728897715988087,0.03574975173783516,0.020854021847070508,0.5384615384615384,15.061965811965809,1.0,0.019469473368643922,2.0892088712346903,0.9712219598583235,0.38888888888888895,0.5213499168185058,0.5608974358974359
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Game Meat', 'Pair_Maturated Cheese'})",0.038728897715988087,0.041708043694141016,0.021847070506454815,0.564102564102564,13.525030525030521,1.0,0.020231763948290467,2.1984344879957933,0.9633734034560482,0.3728813559322033,0.5451308622293077,0.5439560439560438
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Lamb', 'Pair_Hard Cheese'})",0.038728897715988087,0.05958291956305859,0.021847070506454815,0.564102564102564,9.467521367521366,1.0,0.019539489709077172,2.1574274198259236,0.9304094665664914,0.2857142857142857,0.5364849863265913,0.4653846153846153
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Maturated Cheese', 'Pair_Lamb'})",0.038728897715988087,0.06454816285998013,0.022840119165839126,0.5897435897435896,9.136489151873766,1.0,0.020340239968680014,2.2801638530287978,0.9264283147682357,0.2839506172839506,0.5614350264031792,0.4717948717948718
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Cured Meat', 'Pair_Spicy Food'})",0.0903674280039722,0.038728897715988087,0.030784508440913606,0.34065934065934067,8.795998872921949,1.0,0.02728467756489085,1.4579278384640848,0.9743625862797577,0.31313131313131315,0.31409499591317774,0.5677655677655677
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Pork', 'Pair_Cured Meat'})",0.0903674280039722,0.05362462760675273,0.03475670307845084,0.3846153846153846,7.1723646723646715,1.0,0.029910783403957794,1.5378599801390267,0.9460698689956332,0.3181818181818182,0.3497457421906529,0.5163817663817664
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Cured Meat', 'Pair_Poultry'})",0.0903674280039722,0.05858987090367428,0.03475670307845084,0.3846153846153846,6.564537157757496,1.0,0.029462087137801032,1.5297914597815292,0.9318777292576419,0.3043478260869565,0.34631613112625764,0.4889178617992177
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Shellfish', 'Pair_Poultry'})",0.0903674280039722,0.06752730883813307,0.039721946375372394,0.43956043956043955,6.509372979961215,1.0,0.03361967715564041,1.6638238214848997,0.9304585152838428,0.33613445378151263,0.39897482708984305,0.5138978668390433
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Beef', 'Pair_Hard Cheese'})",0.038728897715988087,0.08937437934458789,0.021847070506454815,0.564102564102564,6.31168091168091,1.0,0.018385699310388352,2.089082306209474,0.8754695717505635,0.20560747663551399,0.5213209182674831,0.40427350427350417
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Cured Meat', 'Pair_Shellfish'})",0.0903674280039722,0.07547169811320754,0.04270109235352532,0.4725274725274725,6.260989010989011,1.0,0.03588090910794252,1.752751572327044,0.9237585051284656,0.34677419354838707,0.4294684906929805,0.5191584731058415
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Beef', 'Pair_Maturated Cheese'})",0.038728897715988087,0.09731876861966236,0.022840119165839126,0.5897435897435896,6.059916274201988,1.0,0.01907107053012231,2.2002855014895726,0.8686219906575637,0.20175438596491224,0.5455135257115454,0.41221873364730505
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Spicy Food', 'Pair_Shellfish'})",0.0903674280039722,0.05958291956305859,0.031777557100297914,0.3516483516483516,5.901831501831501,1.0,0.02639320190641675,1.4504738020298586,0.9130731441048036,0.2689075630252101,0.3105701057126611,0.4424908424908425
frozenset({'Body_Light-bodied'}),"frozenset({'Pair_Shellfish', 'Pair_Poultry'})",0.11717974180734857,0.06752730883813307,0.0407149950347567,0.34745762711864403,5.1454386839481545,1.0,0.03280216242015918,1.4289841241181855,0.9125901945183681,0.2827586206896551,0.3002021624158408,0.4751994017946161
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Maturated Cheese', 'Pair_Hard Cheese'})",0.038728897715988087,0.11519364448857994,0.021847070506454815,0.564102564102564,4.896993810786913,1.0,0.017385747631524708,2.0298498744085514,0.827854996243426,0.16541353383458646,0.5073527295749517,0.3768788682581785
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})",frozenset({'Pair_Hard Cheese'}),0.038728897715988087,0.11618669314796425,0.021847070506454815,0.564102564102564,4.8551391628314695,1.0,0.017347287951568414,2.0275717039546697,0.8260236664162284,0.16417910447761191,0.5067991933160471,0.376068376068376
frozenset({'Body_Light-bodied'}),"frozenset({'Pair_Cured Meat', 'Pair_Shellfish'})",0.11717974180734857,0.07547169811320754,0.04270109235352532,0.3644067796610169,4.828389830508474,1.0,0.03385733825485751,1.4545911949685533,0.8981348261699846,0.28476821192052976,0.31252161881701834,0.46509812667261374
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Pork', 'Pair_Spicy Food'})",0.0903674280039722,0.07845084409136048,0.033763654419066536,0.37362637362637363,4.762553901794408,1.0,0.02667425341378967,1.4712451436436174,0.8685139994862575,0.25,0.3203036187949981,0.40200306023090837
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})",frozenset({'Pair_Maturated Cheese'}),0.038728897715988087,0.12611717974180736,0.022840119165839126,0.5897435897435896,4.676155865132242,1.0,0.017955739811389784,2.130089374379344,0.8178224937118217,0.1608391608391608,0.5305361305361305,0.38542297597415703
"frozenset({'Acid_High', 'Body_Light-bodied'})",frozenset({'Pair_Cured Meat'}),0.0903674280039722,0.11420059582919563,0.04270109235352532,0.4725274725274725,4.137697085523173,1.0,0.03238107823191976,1.6793280370738166,0.8336549202802884,0.26380368098159507,0.40452372739368253,0.42322025800286667
"frozenset({'Acid_High', 'Body_Light-bodied'})","frozenset({'Pair_Spicy Food', 'Pair_Poultry'})",0.0903674280039722,0.0903674280039722,0.03277060575968222,0.36263736263736257,4.012921144789276,1.0,0.024604333715629124,1.4271821388213537,0.825393674738653,0.22147651006711405,0.29931858534478617,0.36263736263736257
