antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Pair_Beef'}),frozenset({'Type_Red'}),0.551142005958292,0.5024826216484608,0.46772591857000995,0.8486486486486486,1.688911441085354,1.0,0.19078663851549577,3.2871683926798125,0.9087565526182289,0.7983050847457626,0.6957868047688407,0.8897393440871701
frozenset({'Pair_Cured Meat'}),frozenset({'Type_White'}),0.11420059582919563,0.23038728897715988,0.07646474677259185,0.6695652173913043,2.9062593703148423,1.0,0.05015438109992712,2.329091099148068,0.7404781317337371,0.28518518518518515,0.5706479663394108,0.5007308845577211
frozenset({'Pair_Game Meat'}),frozenset({'Type_Red'}),0.3515392254220457,0.5024826216484608,0.30883813306852037,0.8785310734463277,1.7483810098032648,1.0,0.1321957814661816,4.095840742708022,0.660089717012256,0.5664845173041894,0.7558498821565909,0.7465777896875907
frozenset({'Pair_Goat Cheese'}),frozenset({'Type_White'}),0.04270109235352532,0.23038728897715988,0.039721946375372394,0.9302325581395349,4.037690457097033,1.0,0.029884157471680363,11.031115524660706,0.7858921161825726,0.17021276595744683,0.9093473368342085,0.5513231756214916
frozenset({'Pair_Lamb'}),frozenset({'Type_Red'}),0.40615690168818275,0.5024826216484608,0.3624627606752731,0.8924205378973105,1.7760226910327896,1.0,0.15837597591437888,4.624650176040442,0.7357905346589085,0.6636363636363636,0.7837674284682468,0.8068822057075485
frozenset({'Pair_Lean Fish'}),frozenset({'Type_White'}),0.07845084409136048,0.23038728897715988,0.05461767626613704,0.6962025316455696,3.0218790920995198,1.0,0.036543598977958655,2.5333085071168484,0.7260384012539184,0.21484375,0.6052592895059207,0.46663574858140544
frozenset({'Pair_Pasta'}),frozenset({'Type_Red'}),0.15690168818272096,0.5024826216484608,0.11022840119165839,0.7025316455696202,1.3981212788312403,1.0,0.031388029572535434,1.6725052293519826,0.3377476416345673,0.20072332730560574,0.402094545087041,0.46094961725121325
frozenset({'Pair_Poultry'}),frozenset({'Type_Red'}),0.5779543197616683,0.5024826216484608,0.3843098311817279,0.6649484536082474,1.3233262703231325,1.0,0.09389782939483199,1.4848980215415168,0.5789147286821704,0.5520684736091298,0.32655307940819384,0.7148852939977995
frozenset({'Pair_Veal'}),frozenset({'Type_Red'}),0.1936444885799404,0.5024826216484608,0.1717974180734856,0.8871794871794874,1.7655923786358572,1.0,0.07449442778406173,4.409813126297741,0.5377502206782654,0.32765151515151514,0.7732330211372132,0.6145383601905342
frozenset({'Pair_Vegetarian'}),frozenset({'Type_White'}),0.17676266137040714,0.23038728897715988,0.1320754716981132,0.7471910112359551,3.2431954668733054,1.0,0.09135160135259736,3.044245834712568,0.8401734130259304,0.48014440433213,0.6715114171801378,0.6602334366524603
"frozenset({'Pair_Aperitif', 'Pair_Vegetarian'})",frozenset({'Type_White'}),0.044687189672293945,0.23038728897715988,0.031777557100297914,0.711111111111111,3.086590038314176,1.0,0.021482196619689975,2.664043999694446,0.7076403326403327,0.13061224489795917,0.6246308243727597,0.42452107279693485
"frozenset({'Pair_Beef', 'Pair_Game Meat'})",frozenset({'Type_Red'}),0.3138033763654419,0.5024826216484608,0.2929493545183714,0.9335443037974683,1.8578638615099814,1.0,0.1352686112801255,7.486451979004111,0.672908337217003,0.5597722960151802,0.8664253770939134,0.7582741281833192
frozenset({'Pair_Game Meat'}),"frozenset({'Pair_Beef', 'Type_Red'})",0.3515392254220457,0.46772591857000995,0.2929493545183714,0.8333333333333333,1.781670205237084,1.0,0.12852534739445529,3.1936444885799387,0.6765696784073507,0.5566037735849055,0.6868781094527362,0.7298301486199574
"frozenset({'Pair_Beef', 'Pair_Lamb'})",frozenset({'Type_Red'}),0.39821251241310823,0.5024826216484608,0.3545183714001986,0.8902743142144638,1.771751451410998,1.0,0.15442350418963974,4.534192470885617,0.7238215418180473,0.649090909090909,0.7794535617045211,0.7979039555262042
frozenset({'Pair_Beef'}),"frozenset({'Type_Red', 'Pair_Lamb'})",0.551142005958292,0.3624627606752731,0.3545183714001986,0.6432432432432432,1.7746464272491669,1.0,0.15474991839644825,1.787036201137492,0.9724845690488583,0.6341030195381882,0.4404142460217226,0.8106627175120324
frozenset({'Pair_Lamb'}),"frozenset({'Pair_Beef', 'Type_Red'})",0.40615690168818275,0.46772591857000995,0.3545183714001986,0.8728606356968214,1.866179745534393,1.0,0.1645482614745441,4.186540371247417,0.7815969197043365,0.6826003824091776,0.7611392913184686,0.8154112095681558
"frozenset({'Pair_Pasta', 'Pair_Beef'})",frozenset({'Type_Red'}),0.09632571996027806,0.5024826216484608,0.09334657398212512,0.9690721649484535,1.9285685179903016,1.0,0.04494457368430913,16.086395233366375,0.53280336684592,0.18467583497053042,0.9378356688684485,0.5774214579682979
"frozenset({'Pair_Beef', 'Pair_Poultry'})",frozenset({'Type_Red'}),0.3872889771598808,0.5024826216484608,0.3545183714001986,0.9153846153846154,1.8217239282456672,1.0,0.15991239082135084,5.879750835063643,0.7361862086812034,0.6623376623376622,0.8299247658529095,0.81045910611128
frozenset({'Pair_Beef'}),"frozenset({'Type_Red', 'Pair_Poultry'})",0.551142005958292,0.3843098311817279,0.3545183714001986,0.6432432432432432,1.6737621342272504,1.0,0.14270908013320852,1.7257982004754595,0.8968171339332192,0.6102564102564102,0.4205579773321709,0.782861931699141
frozenset({'Pair_Poultry'}),"frozenset({'Pair_Beef', 'Type_Red'})",0.5779543197616683,0.46772591857000995,0.3545183714001986,0.61340206185567,1.3114562129270906,1.0,0.08419415629816701,1.3768156239655738,0.5627088482451802,0.5129310344827586,0.2736863363594398,0.6856819226475802
"frozenset({'Pair_Beef', 'Pair_Veal'})",frozenset({'Type_Red'}),0.15590863952333664,0.5024826216484608,0.1519364448857994,0.9745222929936307,1.9394149190604468,1.0,0.07359506296046839,19.527557100298004,0.5738485198000769,0.3,0.9487903174542637,0.6384469172478034
frozenset({'Pair_Veal'}),"frozenset({'Pair_Beef', 'Type_Red'})",0.1936444885799404,0.46772591857000995,0.1519364448857994,0.7846153846153847,1.6775110240078395,1.0,0.061363898588726984,2.4712725209249546,0.5008693132425385,0.29824561403508776,0.5953501722158441,0.5547280744732974
"frozenset({'Pair_Cured Meat', 'Pair_Lean Fish'})",frozenset({'Type_White'}),0.031777557100297914,0.23038728897715988,0.028798411122144985,0.90625,3.93359375,1.0,0.02147726589149045,8.209202250910295,0.7702564102564103,0.12340425531914895,0.8781854838709677,0.515625
"frozenset({'Pair_Pasta', 'Pair_Cured Meat'})",frozenset({'Type_White'}),0.029791459781529295,0.23038728897715988,0.029791459781529295,1.0,4.3405172413793105,1.0,0.02292788612779067,inf,0.7932446264073695,0.12931034482758622,1.0,0.5646551724137931
"frozenset({'Pair_Pork', 'Pair_Cured Meat'})",frozenset({'Type_White'}),0.05362462760675273,0.23038728897715988,0.041708043694141016,0.7777777777777778,3.3759578544061304,1.0,0.02935361111741149,3.4632571996027806,0.7436666166991455,0.17213114754098363,0.7112544802867383,0.4794061302681992
"frozenset({'Pair_Cured Meat', 'Pair_Poultry'})",frozenset({'Type_White'}),0.05858987090367428,0.23038728897715988,0.03773584905660377,0.6440677966101694,2.7955873758036236,1.0,0.024237487537584472,2.162245235730836,0.6822673773040194,0.15019762845849802,0.5375177692728266,0.4039304500292227
"frozenset({'Pair_Cured Meat', 'Pair_Shellfish'})",frozenset({'Type_White'}),0.07547169811320754,0.23038728897715988,0.05759682224428997,0.7631578947368421,3.3125000000000004,1.0,0.040209102321485446,3.2494758909853254,0.7551020408163265,0.232,0.692258064516129,0.506578947368421
"frozenset({'Pair_Cured Meat', 'Pair_Spicy Food'})",frozenset({'Type_White'}),0.038728897715988087,0.23038728897715988,0.028798411122144985,0.7435897435897435,3.227564102564102,1.0,0.01987576537228477,3.0014895729890756,0.7179752066115702,0.11983471074380166,0.6668320926385441,0.43429487179487175
"frozenset({'Pair_Game Meat', 'Pair_Hard Cheese'})",frozenset({'Type_Red'}),0.03574975173783516,0.5024826216484608,0.030784508440913606,0.861111111111111,1.7137132191480016,1.0,0.012820879464404578,3.5821251241310805,0.43191256104448345,0.06066536203522505,0.7208361055666443,0.4611879666227492
"frozenset({'Pair_Game Meat', 'Pair_Lamb'})",frozenset({'Type_Red'}),0.22840119165839126,0.5024826216484608,0.2135054617676266,0.9347826086956521,1.86032823509194,1.0,0.09873783219548561,7.628599801390259,0.5993535063302505,0.4126679462571977,0.8689143452225981,0.6798418972332015
frozenset({'Pair_Game Meat'}),"frozenset({'Type_Red', 'Pair_Lamb'})",0.3515392254220457,0.3624627606752731,0.2135054617676266,0.6073446327683616,1.6756056032814797,1.0,0.08608558363550478,1.6236559907982255,0.621781402471598,0.42658730158730157,0.3841059894045796,0.5981928643293862
"frozenset({'Pair_Game Meat', 'Pair_Maturated Cheese'})",frozenset({'Type_Red'}),0.041708043694141016,0.5024826216484608,0.036742800397219465,0.8809523809523809,1.7531996988518725,1.0,0.015785233257958935,4.1791459781529285,0.4483125612659291,0.07240704500978473,0.7607166619142667,0.47703745529832486
"frozenset({'Pair_Pasta', 'Pair_Game Meat'})",frozenset({'Type_Red'}),0.05660377358490566,0.5024826216484608,0.05461767626613704,0.9649122807017544,1.9202898550724636,1.0,0.02617526371999775,14.179245283018869,0.5079999999999999,0.10826771653543306,0.929474384564205,0.5368039664378337
