antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Game Meat', 'Pair_Lamb', 'Pair_Hard Cheese'})",0.03277060575968222,0.033763654419066536,0.020854021847070508,0.6363636363636365,18.847593582887704,1.0,0.019747566439097124,2.6571499503475677,0.979026107362863,0.456521739130435,0.6236569186209475,0.627005347593583
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Game Meat', 'Pair_Maturated Cheese', 'Pair_Hard Cheese'})",0.03277060575968222,0.03475670307845084,0.020854021847070508,0.6363636363636365,18.309090909090912,1.0,0.019715023632980264,2.654419066534261,0.9774127310061603,0.4468085106382979,0.6232697343808457,0.6181818181818183
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Pair_Hard Cheese'})",0.03277060575968222,0.03475670307845084,0.020854021847070508,0.6363636363636365,18.309090909090912,1.0,0.019715023632980264,2.654419066534261,0.9774127310061603,0.4468085106382979,0.6232697343808457,0.6181818181818183
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Maturated Cheese', 'Pair_Game Meat', 'Pair_Lamb'})",0.03277060575968222,0.036742800397219465,0.021847070506454815,0.6666666666666667,18.144144144144146,1.0,0.020642986680130843,2.889771598808342,0.976899383983573,0.45833333333333337,0.6539518900343644,0.6306306306306306
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Game Meat', 'Pair_Hard Cheese'})",0.03277060575968222,0.03574975173783516,0.020854021847070508,0.6363636363636365,17.800505050505052,1.0,0.019682480826863396,2.651688182720954,0.9757993546494573,0.43750000000000006,0.6228817526448835,0.6098484848484849
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Maturated Cheese', 'Pair_Game Meat', 'Pair_Lamb', 'Pair_Hard Cheese'})",0.038728897715988087,0.03277060575968222,0.020854021847070508,0.5384615384615384,16.431235431235432,1.0,0.019584852408512807,2.0956636875206884,0.9769775678866589,0.4117647058823531,0.5228241983888801,0.5874125874125875
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Pair_Maturated Cheese'})",0.03277060575968222,0.0407149950347567,0.021847070506454815,0.6666666666666667,16.3739837398374,1.0,0.020512815455663386,2.8778550148957303,0.9707392197125257,0.4230769230769232,0.6525189786059352,0.6016260162601627
"frozenset({'Body_Very full-bodied', 'Acid_Medium', 'Type_Red'})","frozenset({'Pair_Game Meat', 'Pair_Maturated Cheese'})",0.03277060575968222,0.041708043694141016,0.021847070506454815,0.6666666666666667,15.984126984126984,1.0,0.02048027264954652,2.8748758689175773,0.969199178644764,0.41509433962264153,0.6521588946459413,0.5952380952380952
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Game Meat', 'Pair_Lamb', 'Pair_Hard Cheese'})",0.038728897715988087,0.033763654419066536,0.020854021847070508,0.5384615384615384,15.947963800904976,1.0,0.01954639272855651,2.0935120820920226,0.9750590318772137,0.40384615384615385,0.5223337813265869,0.5780542986425339
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Pair_Lamb', 'Pair_Hard Cheese'})",0.038728897715988087,0.033763654419066536,0.020854021847070508,0.5384615384615384,15.947963800904976,1.0,0.01954639272855651,2.0935120820920226,0.9750590318772137,0.40384615384615385,0.5223337813265869,0.5780542986425339
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Pair_Maturated Cheese', 'Pair_Hard Cheese'})",0.038728897715988087,0.033763654419066536,0.020854021847070508,0.5384615384615384,15.947963800904976,1.0,0.01954639272855651,2.0935120820920226,0.9750590318772137,0.40384615384615385,0.5223337813265869,0.5780542986425339
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Game Meat', 'Pair_Maturated Cheese', 'Pair_Hard Cheese'})",0.038728897715988087,0.03475670307845084,0.020854021847070508,0.5384615384615384,15.492307692307692,1.0,0.019507933048600216,2.0913604766633567,0.9731404958677686,0.39622641509433965,0.5218423551756886,0.5692307692307692
"frozenset({'Body_Very full-bodied', 'Acid_Medium'})","frozenset({'Pair_Beef', 'Pair_Game Meat', 'Pair_Hard Cheese'})",0.038728897715988087,0.03475670307845084,0.020854021847070508,0.5384615384615384,15.492307692307692,1.0,0.019507933048600216,2.0913604766633567,0.9731404958677686,0.39622641509433965,0.5218423551756886,0.5692307692307692
