premise,conclusion,support,delta_stability
{'Style_Savoury & Full Bodied'},{'Type_Red'},154,1
{'Type_Rosé'},{'harvest_for_vintage_missing'},124,1
{'avg_harvest_start_to_2007_low'},{'Country_France'},171,2
{'region_clean_Other'},{'harvest_for_vintage_missing'},724,8
{'Style_Fresh & Elegant '},{'harvest_for_vintage_missing'},95,2
{'Style_Light & Elegant'},{'harvest_for_vintage_missing'},104,2
{'Style_Rich & Toasty'},{'harvest_for_vintage_missing'},141,3
{'Style_Ripe & Rounded'},{'harvest_for_vintage_missing'},91,1
{'Closure_Screwcap'},{'harvest_for_vintage_missing'},414,13
{'price_num_low'},{'harvest_for_vintage_missing'},450,19
{'abv_num_high'},{'harvest_for_vintage_missing'},265,15
{'vintage_year_high'},{'harvest_for_vintage_missing'},330,26
{'vintage_year_mid'},{'harvest_for_vintage_missing'},265,32
{'vintage_year_missing'},{'harvest_for_vintage_missing'},178,1
{'avg_harvest_start_to_2007_missing'},{'harvest_for_vintage_missing'},1111,395
{'grape::Chardonnay'},{'harvest_for_vintage_missing'},237,17
{'grape::Pinot Noir'},{'harvest_for_vintage_missing'},116,26
{'grape::Sauvignon Blanc'},{'harvest_for_vintage_missing'},102,2
{'char::Vanilla'},{'harvest_for_vintage_missing'},259,24
{'char::Peach'},{'harvest_for_vintage_missing'},245,37
{'char::Green Apple'},{'harvest_for_vintage_missing'},244,3
{'char::Citrus Fruit'},{'harvest_for_vintage_missing'},239,17
{'char::Red Fruit'},{'harvest_for_vintage_missing'},205,13
{'char::Lemon'},{'harvest_for_vintage_missing'},202,2
{'char::Raspberry'},{'harvest_for_vintage_missing'},190,16
{'char::Strawberry'},{'harvest_for_vintage_missing'},170,22
{'char::Black Plum'},{'harvest_for_vintage_missing'},165,3
{'char::Blackberry'},{'harvest_for_vintage_missing'},160,1
{'char::Black Fruit'},{'harvest_for_vintage_missing'},150,1
"{'Style_Other', 'Type_Red'}",{'harvest_for_vintage_missing'},199,6
"{'price_num_mid', 'Type_Red'}",{'harvest_for_vintage_missing'},189,30
"{'abv_num_mid', 'Type_Red'}",{'harvest_for_vintage_missing'},258,45
{'grape::Cabernet Sauvignon'},"{'harvest_for_vintage_missing', 'Type_Red'}",87,17
{'Style_Crisp & Zesty'},"{'Type_White', 'harvest_for_vintage_missing'}",98,3
"{'price_num_high', 'Type_White'}",{'harvest_for_vintage_missing'},175,20
"{'Type_White', 'abv_num_low'}",{'harvest_for_vintage_missing'},374,54
{'Country_Australia'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",96,18
{'region_clean_Bordeaux'},"{'Country_France', 'avg_harvest_start_to_2007_low'}",67,2
{'Country_Italy'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",147,5
{'Country_New Zealand'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",91,3
{'Country_Other'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",213,23
{'Country_Spain'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",113,22
{'Country_USA'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",51,1
{'region_clean_Unknown'},"{'avg_harvest_start_to_2007_missing', 'harvest_for_vintage_missing'}",166,32
"{'price_num_high', 'Style_Other'}",{'harvest_for_vintage_missing'},125,7
