premise,conclusion,support,delta_stability
{'Style_Bold & Spicy'},{'Type_Red'},113,34
{'Style_Savoury & Full Bodied'},{'Type_Red'},154,14
{'grape::Cabernet Sauvignon'},{'Type_Red'},87,17
{'Style_Crisp & Zesty'},{'Type_White'},98,15
{'region_clean_South Australia'},{'Country_Australia'},56,14
{'region_clean_Bordeaux'},{'Country_France'},67,3
{'region_clean_Burgundy'},{'Country_France'},101,10
{'region_clean_Loire'},{'Country_France'},59,13
{'region_clean_Rhône'},{'Country_France'},49,3
{'region_clean_Marlborough'},{'Country_New Zealand'},65,2
{'Country_South Africa'},{'region_clean_Other'},77,35
"{'abv_num_high', 'Country_Australia'}",{'Type_Red'},43,8
"{'char::Black Plum', 'Country_Australia'}",{'Type_Red'},43,9
"{'Country_Australia', 'char::Blackberry'}",{'Type_Red'},45,9
"{'Country_France', 'char::Black Plum'}",{'Type_Red'},46,2
"{'Style_Light & Elegant', 'region_clean_Other'}",{'Type_Red'},56,19
"{'char::Blackberry', 'region_clean_Other'}",{'Type_Red'},72,28
"{'char::Black Fruit', 'region_clean_Other'}",{'Type_Red'},135,34
"{'Style_Light & Elegant', 'vintage_year_low'}",{'Type_Red'},56,15
"{'Style_Light & Elegant', 'grape::Pinot Noir'}",{'Type_Red'},72,24
"{'Style_Light & Elegant', 'char::Red Fruit'}",{'Type_Red'},50,15
"{'Style_Light & Elegant', 'char::Strawberry'}",{'Type_Red'},41,8
"{'char::Black Plum', 'Closure_Screwcap'}",{'Type_Red'},50,16
"{'Closure_Screwcap', 'char::Blackberry'}",{'Type_Red'},69,30
"{'char::Black Plum', 'price_num_low'}",{'Type_Red'},53,15
"{'char::Blackberry', 'price_num_low'}",{'Type_Red'},51,20
"{'char::Black Fruit', 'price_num_low'}",{'Type_Red'},59,2
"{'char::Black Plum', 'price_num_mid'}",{'Type_Red'},51,14
"{'char::Blackberry', 'price_num_mid'}",{'Type_Red'},60,21
"{'char::Black Fruit', 'price_num_mid'}",{'Type_Red'},48,8
"{'char::Red Fruit', 'abv_num_high'}",{'Type_Red'},59,5
"{'char::Spice', 'abv_num_high'}",{'Type_Red'},78,9
"{'abv_num_high', 'char::Blackberry'}",{'Type_Red'},73,18
"{'grape::Pinot Noir', 'abv_num_mid'}",{'Type_Red'},51,3
"{'char::Black Plum', 'abv_num_mid'}",{'Type_Red'},69,21
"{'char::Blackberry', 'abv_num_mid'}",{'Type_Red'},73,29
"{'char::Black Fruit', 'abv_num_mid'}",{'Type_Red'},71,7
"{'char::Black Plum', 'vintage_year_low'}",{'Type_Red'},100,23
"{'char::Black Fruit', 'vintage_year_low'}",{'Type_Red'},95,11
"{'char::Black Plum', 'vintage_year_mid'}",{'Type_Red'},40,12
"{'char::Red Fruit', 'char::Vanilla'}",{'Type_Red'},66,3
"{'char::Black Plum', 'char::Vanilla'}",{'Type_Red'},59,20
"{'char::Vanilla', 'char::Blackberry'}",{'Type_Red'},52,14
"{'char::Black Fruit', 'char::Vanilla'}",{'Type_Red'},66,4
"{'char::Spice', 'char::Red Fruit'}",{'Type_Red'},40,7
"{'char::Black Fruit', 'char::Red Fruit'}",{'Type_Red'},87,4
"{'char::Black Plum', 'char::Spice'}",{'Type_Red'},54,13
"{'char::Black Fruit', 'char::Spice'}",{'Type_Red'},47,4
"{'char::Black Plum', 'char::Blackberry'}",{'Type_Red'},94,31
"{'Type_Rosé', 'region_clean_Other'}",{'Style_Other'},87,14
"{'Type_Rosé', 'price_num_low'}",{'Style_Other'},48,7
"{'vintage_year_high', 'Type_Rosé'}",{'Style_Other'},54,4
"{'grape::Grenache', 'Type_Rosé'}",{'Style_Other'},39,1
"{'Type_Rosé', 'char::Peach'}",{'Style_Other'},60,5
"{'Country_France', 'Style_Fresh & Elegant '}",{'Type_White'},50,15
"{'Country_France', 'Style_Ripe & Rounded'}",{'Type_White'},48,9
"{'Country_France', 'grape::Sauvignon Blanc'}",{'Type_White'},40,9
"{'Country_New Zealand', 'char::Green Apple'}",{'Type_White'},38,1
"{'Style_Rich & Toasty', 'region_clean_Other'}",{'Type_White'},49,5
"{'Style_Fresh & Elegant ', 'vintage_year_high'}",{'Type_White'},51,18
"{'Style_Fresh & Elegant ', 'char::Lemon'}",{'Type_White'},38,9
"{'Style_Rich & Toasty', 'abv_num_mid'}",{'Type_White'},40,1
"{'Style_Rich & Toasty', 'char::Vanilla'}",{'Type_White'},59,2
"{'Style_Rich & Toasty', 'char::Peach'}",{'Type_White'},61,6
"{'Style_Rich & Toasty', 'char::Green Apple'}",{'Type_White'},55,3
"{'Style_Rich & Toasty', 'char::Citrus Fruit'}",{'Type_White'},39,1
"{'Style_Rich & Toasty', 'char::Lemon'}",{'Type_White'},42,6
"{'abv_num_low', 'Style_Ripe & Rounded'}",{'Type_White'},40,16
"{'Style_Ripe & Rounded', 'abv_num_mid'}",{'Type_White'},42,11
"{'grape::Chardonnay', 'Style_Ripe & Rounded'}",{'Type_White'},46,13
"{'char::Peach', 'Style_Ripe & Rounded'}",{'Type_White'},47,14
"{'Style_Ripe & Rounded', 'char::Lemon'}",{'Type_White'},38,8
"{'grape::Chardonnay', 'Closure_Screwcap'}",{'Type_White'},45,15
"{'Closure_Screwcap', 'char::Green Apple'}",{'Type_White'},114,35
"{'Closure_Screwcap', 'char::Lemon'}",{'Type_White'},114,35
"{'price_num_high', 'char::Green Apple'}",{'Type_White'},68,13
"{'char::Lemon', 'price_num_low'}",{'Type_White'},73,14
"{'price_num_mid', 'grape::Sauvignon Blanc'}",{'Type_White'},47,12
"{'price_num_mid', 'char::Lemon'}",{'Type_White'},85,34
"{'grape::Chardonnay', 'abv_num_mid'}",{'Type_White'},66,20
"{'abv_num_mid', 'grape::Sauvignon Blanc'}",{'Type_White'},42,9
"{'char::Green Apple', 'abv_num_mid'}",{'Type_White'},64,28
"{'grape::Chardonnay', 'vintage_year_high'}",{'Type_White'},42,14
"{'vintage_year_high', 'grape::Sauvignon Blanc'}",{'Type_White'},64,12
"{'vintage_year_high', 'char::Green Apple'}",{'Type_White'},100,21
"{'vintage_year_high', 'char::Lemon'}",{'Type_White'},97,22
"{'grape::Chardonnay', 'vintage_year_low'}",{'Type_White'},77,11
"{'vintage_year_low', 'char::Lemon'}",{'Type_White'},48,20
"{'grape::Chardonnay', 'vintage_year_mid'}",{'Type_White'},49,14
"{'char::Green Apple', 'vintage_year_mid'}",{'Type_White'},44,17
"{'grape::Chardonnay', 'char::Vanilla'}",{'Type_White'},78,21
"{'grape::Chardonnay', 'char::Peach'}",{'Type_White'},98,29
"{'char::Green Apple', 'grape::Sauvignon Blanc'}",{'Type_White'},75,23
"{'char::Citrus Fruit', 'grape::Sauvignon Blanc'}",{'Type_White'},46,12
"{'char::Lemon', 'grape::Sauvignon Blanc'}",{'Type_White'},47,2
"{'char::Vanilla', 'char::Peach'}",{'Type_White'},60,4
"{'char::Vanilla', 'char::Green Apple'}",{'Type_White'},39,2
"{'char::Vanilla', 'char::Lemon'}",{'Type_White'},44,2
"{'char::Peach', 'char::Green Apple'}",{'Type_White'},57,14
"{'char::Lemon', 'char::Green Apple'}",{'Type_White'},107,33
"{'Country_France', 'Style_Rich & Toasty'}",{'Closure_Natural Cork'},87,3
"{'Country_Italy', 'abv_num_mid'}",{'region_clean_Other'},40,5
"{'Country_New Zealand', 'price_num_mid'}",{'Closure_Screwcap'},41,9
"{'Country_New Zealand', 'abv_num_mid'}",{'Closure_Screwcap'},47,18
"{'vintage_year_high', 'Country_New Zealand'}",{'Closure_Screwcap'},38,1
"{'Country_New Zealand', 'grape::Sauvignon Blanc'}",{'Closure_Screwcap'},40,1
"{'char::Red Fruit', 'Country_Other'}",{'region_clean_Other'},46,4
"{'grape::Chardonnay', 'vintage_year_missing'}",{'Closure_Natural Cork'},69,1
"{'Country_France', 'Style_Savoury & Full Bodied'}",{'Closure_Natural Cork'},54,1
"{'Country_France', 'Type_Red', 'price_num_high'}",{'Closure_Natural Cork'},60,3
"{'char::Black Fruit', 'Country_Other'}","{'Type_Red', 'region_clean_Other'}",46,10
"{'Type_Red', 'vintage_year_low', 'Country_Spain'}",{'Closure_Natural Cork'},46,1
"{'char::Red Fruit', 'vintage_year_low', 'abv_num_mid'}",{'Type_Red'},49,9
"{'char::Peach', 'char::Raspberry'}","{'Type_Rosé', 'Style_Other'}",55,1
"{'grape::Chardonnay', 'region_clean_Burgundy'}",{'Type_White'},71,10
"{'Country_France', 'Type_White', 'region_clean_Unknown'}",{'Closure_Natural Cork'},76,1
"{'Country_France', 'Type_White', 'price_num_high'}",{'Closure_Natural Cork'},116,24
"{'grape::Chardonnay', 'Country_France', 'price_num_mid'}",{'Type_White'},47,9
"{'Country_France', 'abv_num_low', 'char::Lemon'}",{'Type_White'},54,17
"{'grape::Chardonnay', 'Country_France', 'char::Green Apple'}",{'Type_White'},52,6
"{'grape::Chardonnay', 'Country_France', 'char::Citrus Fruit'}",{'Type_White'},45,2
"{'grape::Chardonnay', 'Country_France', 'char::Lemon'}",{'Type_White'},59,10
"{'Country_France', 'char::Green Apple', 'char::Citrus Fruit'}",{'Type_White'},50,13
"{'Style_Crisp & Zesty', 'Country_New Zealand'}",{'Closure_Screwcap'},40,4
"{'Country_New Zealand', 'char::Lemon'}","{'Type_White', 'Closure_Screwcap'}",41,2
"{'abv_num_low', 'region_clean_Unknown', 'char::Citrus Fruit'}",{'Type_White'},49,3
"{'Type_White', 'price_num_high', 'vintage_year_missing'}",{'Closure_Natural Cork'},64,4
"{'abv_num_low', 'char::Peach', 'char::Lemon'}",{'Type_White'},40,16
"{'vintage_year_low', 'region_clean_Bordeaux'}",{'Closure_Natural Cork'},63,8
"{'price_num_high', 'region_clean_Burgundy'}",{'Closure_Natural Cork'},49,12
"{'Country_France', 'price_num_high', 'region_clean_Unknown'}",{'Closure_Natural Cork'},94,3
"{'grape::Chardonnay', 'Country_France', 'region_clean_Unknown'}",{'Closure_Natural Cork'},65,1
"{'Country_France', 'vintage_year_missing', 'Style_Other'}",{'abv_num_low'},49,2
"{'Country_France', 'price_num_high', 'abv_num_mid'}",{'Closure_Natural Cork'},56,13
"{'Country_France', 'vintage_year_low', 'price_num_high'}",{'Closure_Natural Cork'},114,57
"{'grape::Chardonnay', 'Country_France', 'price_num_high'}",{'Closure_Natural Cork'},98,10
"{'Country_France', 'grape::Pinot Noir', 'price_num_high'}",{'Closure_Natural Cork'},44,13
"{'Country_France', 'price_num_high', 'char::Citrus Fruit'}",{'Closure_Natural Cork'},54,1
"{'Country_France', 'abv_num_high', 'vintage_year_low'}",{'Closure_Natural Cork'},41,6
"{'Closure_Natural Cork', 'Country_France', 'vintage_year_missing'}",{'abv_num_low'},77,10
"{'region_clean_Marlborough', 'grape::Sauvignon Blanc'}",{'Closure_Screwcap'},38,1
"{'Style_Rich & Toasty', 'price_num_high', 'region_clean_Unknown'}",{'Closure_Natural Cork'},56,1
"{'Style_Rich & Toasty', 'abv_num_low', 'region_clean_Unknown'}",{'Closure_Natural Cork'},56,1
"{'abv_num_low', 'price_num_high', 'region_clean_Unknown'}",{'Closure_Natural Cork'},93,2
"{'grape::Chardonnay', 'abv_num_low', 'region_clean_Unknown'}",{'Closure_Natural Cork'},66,2
"{'abv_num_low', 'price_num_high', 'vintage_year_missing'}",{'Closure_Natural Cork'},85,21
"{'Type_Red', 'region_clean_Bordeaux'}","{'Closure_Natural Cork', 'vintage_year_low'}",55,4
"{'Closure_Natural Cork', 'Type_Red', 'vintage_year_low', 'Country_Other'}",{'region_clean_Other'},38,14
"{'Country_Spain', 'Style_Savoury & Full Bodied'}","{'Closure_Natural Cork', 'region_clean_Other'}",41,3
"{'Closure_Natural Cork', 'Type_Red', 'char::Black Fruit', 'Style_Other'}",{'region_clean_Other'},41,11
"{'char::Black Fruit', 'char::Red Fruit', 'Style_Other'}",{'region_clean_Other'},42,10
"{'Type_Red', 'char::Vanilla', 'price_num_high', 'region_clean_Other'}",{'Closure_Natural Cork'},39,4
"{'char::Red Fruit', 'char::Vanilla', 'Style_Savoury & Full Bodied'}",{'Closure_Natural Cork'},39,1
"{'char::Peach', 'char::Strawberry'}","{'Type_Rosé', 'Style_Other', 'char::Raspberry'}",54,9
"{'char::Lemon', 'region_clean_Burgundy'}","{'grape::Chardonnay', 'Type_White'}",42,9
"{'Country_France', 'price_num_high', 'char::Green Apple'}",{'Closure_Natural Cork'},38,7
"{'Country_France', 'Type_White', 'vintage_year_missing'}","{'Closure_Natural Cork', 'abv_num_low'}",55,6
"{'region_clean_Marlborough', 'char::Lemon'}","{'Type_White', 'Closure_Screwcap'}",39,4
"{'Style_Crisp & Zesty', 'char::Lemon', 'char::Green Apple'}",{'Closure_Screwcap'},47,8
"{'Type_White', 'abv_num_low', 'price_num_high', 'Style_Other'}",{'Closure_Natural Cork'},38,8
"{'Style_Rich & Toasty', 'char::Vanilla', 'char::Peach'}",{'grape::Chardonnay'},44,11
"{'Country_France', 'region_clean_Unknown', 'Style_Other'}","{'Closure_Natural Cork', 'abv_num_low'}",40,2
"{'Country_France', 'vintage_year_missing', 'region_clean_Unknown'}","{'Closure_Natural Cork', 'abv_num_low'}",67,4
"{'Closure_Natural Cork', 'Style_Rich & Toasty', 'grape::Chardonnay', 'region_clean_Unknown'}",{'price_num_high'},42,1
"{'grape::Chardonnay', 'price_num_high', 'vintage_year_missing'}",{'abv_num_low'},59,15
"{'price_num_high', 'vintage_year_missing', 'char::Citrus Fruit'}","{'Closure_Natural Cork', 'abv_num_low'}",41,2
"{'grape::Chardonnay', 'abv_num_low', 'price_num_high', 'char::Citrus Fruit'}",{'Closure_Natural Cork'},45,1
"{'region_clean_Bordeaux', 'Style_Savoury & Full Bodied'}","{'Closure_Natural Cork', 'vintage_year_low'}",51,23
"{'Closure_Natural Cork', 'char::Red Fruit', 'char::Vanilla', 'char::Black Fruit'}",{'region_clean_Other'},45,3
"{'char::Black Fruit', 'char::Vanilla', 'vintage_year_low', 'char::Red Fruit'}",{'region_clean_Other'},43,1
"{'Country_France', 'char::Raspberry', 'abv_num_low', 'char::Strawberry', 'Style_Other'}",{'Type_Rosé'},46,13
"{'Country_France', 'region_clean_Unknown', 'char::Citrus Fruit'}","{'Closure_Natural Cork', 'Type_White', 'abv_num_low'}",44,1
"{'Country_France', 'abv_num_low', 'price_num_high', 'char::Citrus Fruit'}",{'Type_White'},48,5
"{'Closure_Screwcap', 'char::Lemon', 'char::Green Apple', 'grape::Sauvignon Blanc'}",{'Style_Crisp & Zesty'},39,5
"{'grape::Chardonnay', 'Country_France', 'Style_Rich & Toasty', 'region_clean_Unknown'}",{'price_num_high'},41,1
"{'Country_France', 'price_num_high', 'vintage_year_missing'}","{'Closure_Natural Cork', 'abv_num_low', 'region_clean_Unknown'}",63,17
"{'grape::Chardonnay', 'Country_France', 'vintage_year_missing'}","{'abv_num_low', 'region_clean_Unknown'}",45,2
"{'grape::Chardonnay', 'Style_Rich & Toasty', 'abv_num_low', 'region_clean_Unknown'}",{'price_num_high'},41,1
"{'price_num_high', 'region_clean_Unknown', 'char::Citrus Fruit'}","{'Closure_Natural Cork', 'Country_France', 'Type_White', 'abv_num_low'}",43,11
