intent,support,delta_stability
"{'ABV': [0.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",10,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",9,
"{'ABV': [12.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [13.0, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",7,
