feature,support_ratio,concept_weight,implication_weight,importance_score
avg_harvest_start_to_2007_missing,0.99,686.4699999999741,8.504000000000003,695.9639999999741
region_clean_Other,0.79,360.73000000000303,28.775999999999737,390.2960000000028
Type_Red,0.53,231.54000000000406,30.81199999999971,262.88200000000376
food::Beef,0.53,196.75000000000392,30.21999999999972,227.50000000000364
Elaborate_Varietal/100%,0.58,164.19000000000287,29.895999999999656,194.66600000000253
latest_vintage_low,0.53,131.6899999999999,22.019999999999833,154.23999999999975
Acidity_Medium,0.54,129.7899999999995,20.151999999999884,150.48199999999937
Body_Medium-bodied,0.46,95.1899999999992,18.87599999999993,114.52599999999913
abv_num_low,0.49,90.03999999999928,20.607999999999894,111.13799999999917
food::Poultry,0.38,75.54999999999966,21.411999999999868,97.34199999999952
food::Game Meat,0.39,71.83999999999972,22.743999999999843,94.97399999999956
Acidity_High,0.45,69.05999999999983,17.731999999999953,87.24199999999979
oldest_vintage_low,0.4,64.16999999999994,15.763999999999983,80.33399999999993
latest_vintage_mid,0.41,64.03999999999982,13.640000000000006,78.08999999999982
vintage_span_low,0.35,67.54999999999984,8.611999999999997,76.51199999999983
food::Lamb,0.36,58.60999999999979,15.223999999999993,74.19399999999979
oldest_vintage_mid,0.3,43.479999999999784,10.843999999999996,54.623999999999775
Body_Full-bodied,0.32,36.58999999999996,13.791999999999994,50.701999999999956
vintage_span_mid,0.32,41.12999999999977,8.791999999999998,50.24199999999976
food::Veal,0.26,32.099999999999966,14.395999999999981,46.75599999999994
vintage_span_high,0.33,31.449999999999996,12.879999999999992,44.65999999999998
abv_num_high,0.29,31.779999999999994,8.787999999999997,40.85799999999999
oldest_vintage_high,0.3,30.56000000000002,6.340000000000002,37.200000000000024
Country_Italy,0.25,19.590000000000025,9.076,28.916000000000025
food::Pasta,0.21,13.910000000000037,7.488,21.60800000000004
abv_num_mid,0.22,15.750000000000039,5.420000000000001,21.39000000000004
Elaborate_Assemblage/Blend,0.25,16.20000000000002,3.5720000000000023,20.022000000000023
Type_White,0.19,12.060000000000034,5.296000000000001,17.546000000000035
grape::Pinot Noir,0.15,6.659999999999994,9.471999999999996,16.28199999999999
Country_France,0.19,7.689999999999993,5.963999999999994,13.843999999999987
food::Appetizer,0.18,7.739999999999991,4.432000000000003,12.351999999999993
food::Vegetarian,0.18,7.439999999999991,4.296000000000003,11.915999999999993
Country_Other,0.18,7.289999999999992,2.1040000000000014,9.573999999999993
food::Shellfish,0.17,6.209999999999994,2.9760000000000013,9.355999999999995
Country_United States,0.13,4.429999999999997,2.9520000000000017,7.511999999999999
food::Snack,0.14,2.8299999999999987,3.320000000000002,6.290000000000001
food::Maturated Cheese,0.14,2.839999999999999,3.300000000000002,6.280000000000001
food::Pork,0.14,3.279999999999999,2.7360000000000015,6.156000000000001
Country_Portugal,0.14,2.739999999999999,1.3280000000000005,4.207999999999999
Body_Very full-bodied,0.12,2.020000000000001,1.2160000000000002,3.356000000000001
grape::Cabernet Sauvignon,0.11,1.4000000000000004,1.5840000000000007,3.094000000000001
grape::Chardonnay,0.09,1.560000000000001,0.684,2.334000000000001
grape::Nebbiolo,0.05,0.05,1.6840000000000013,1.7840000000000014
has_non_vintage,0.1,0.9400000000000002,0.628,1.6680000000000001
grape::Merlot,0.09,0.7500000000000002,0.7160000000000002,1.5560000000000005
Type_Rosé,0.08,0.55,0.5720000000000001,1.202
grape::Syrah/Shiraz,0.07,0.27999999999999997,0.516,0.866
Body_Light-bodied,0.09,0.54,0.156,0.786
Type_Dessert,0.08,0.5,0.096,0.6759999999999999
Type_Sparkling,0.07,0.27999999999999997,0.288,0.6379999999999999
grape::Petit Verdot,0.05,0.05,0.3,0.4
grape::Cabernet Franc,0.05,0.05,0.3,0.4
latest_vintage_high,0.06,0.11,0.2,0.37
grape::Tinta Roriz,0.05,0.05,0.252,0.352
Type_Dessert/Port,0.05,0.05,0.236,0.33599999999999997
grape::Touriga Franca,0.05,0.05,0.236,0.33599999999999997
grape::Grenache,0.05,0.1,0.06,0.21000000000000002
grape::Touriga Nacional,0.05,0.05,0.108,0.20800000000000002
Elaborate_Varietal/>75%,0.05,0.05,0.06,0.16
Elaborate_Assemblage/Bordeaux Red Blend,0.04,0.0,0.112,0.152
Country_Australia,0.04,0.0,0.048,0.088
region_clean_Douro,0.04,0.0,0.048,0.088
Country_Chile,0.04,0.0,0.048,0.088
region_clean_Vinho Verde,0.03,0.0,0.0,0.03
region_clean_Willamette Valley,0.03,0.0,0.0,0.03
region_clean_Langhe,0.03,0.0,0.0,0.03
region_clean_Porto,0.03,0.0,0.0,0.03
Country_Germany,0.03,0.0,0.0,0.03
region_clean_Barolo,0.03,0.0,0.0,0.03
Elaborate_Other,0.02,0.0,0.0,0.02
Elaborate_Assemblage/Valpolicella Red Blend,0.02,0.0,0.0,0.02
Elaborate_Assemblage/Provence Rosé Blend,0.02,0.0,0.0,0.02
Elaborate_Assemblage/Portuguese Red Blend,0.02,0.0,0.0,0.02
region_clean_Lisboa,0.02,0.0,0.0,0.02
Acidity_Low,0.01,0.0,0.0,0.01
Body_Very light-bodied,0.01,0.0,0.0,0.01
avg_harvest_start_to_2007_single_bin,0.01,0.0,0.0,0.01
