intent,support,delta_stability
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': NOT({'Chile', 'Germany', 'Australia', 'Spain'}), 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",10,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",9,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",9,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': NOT({'Chile', 'Germany', 'Australia', 'Spain'}), 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",9,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': NOT({'Chile', 'Germany', 'Australia', 'Spain'}), 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",9,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'Other', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",8,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",8,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': NOT({'Chile', 'Germany', 'Australia', 'Spain'}), 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'Other', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",6,
