feature,support_ratio,concept_weight,implication_weight,importance_score
region_clean_Other,0.79,356.20000000000385,28.667999999999736,385.6580000000036
Type_Red,0.53,231.54000000000406,29.73599999999973,261.8060000000038
food::Beef,0.53,196.75000000000392,29.43999999999972,226.72000000000364
Elaborate_Varietal/100%,0.58,159.48000000000243,29.487999999999666,189.5480000000021
latest_vintage_low,0.53,127.14999999999927,21.467999999999847,149.14799999999912
Acidity_Medium,0.54,126.14999999999912,19.803999999999892,146.49399999999903
abv_num_low,0.49,90.03999999999928,19.971999999999905,110.50199999999919
Body_Medium-bodied,0.46,90.06999999999931,18.767999999999933,109.29799999999923
food::Poultry,0.38,75.54999999999966,20.955999999999875,96.88599999999953
food::Game Meat,0.39,71.83999999999972,22.55999999999985,94.78999999999957
Acidity_High,0.45,69.05999999999983,17.19199999999996,86.7019999999998
oldest_vintage_low,0.4,64.16999999999994,15.283999999999985,79.85399999999993
latest_vintage_mid,0.41,64.03999999999982,13.148000000000009,77.59799999999983
food::Lamb,0.36,58.60999999999979,15.223999999999993,74.19399999999979
vintage_span_low,0.35,61.10999999999982,8.299999999999997,69.75999999999982
oldest_vintage_mid,0.3,43.479999999999784,10.483999999999998,54.26399999999978
Body_Full-bodied,0.32,36.58999999999996,13.408,50.31799999999996
vintage_span_mid,0.32,41.12999999999977,8.408,49.85799999999977
food::Veal,0.26,32.099999999999966,14.083999999999985,46.443999999999946
vintage_span_high,0.33,31.449999999999996,12.879999999999992,44.65999999999998
abv_num_high,0.29,30.939999999999998,8.151999999999997,39.38199999999999
oldest_vintage_high,0.3,27.67000000000001,6.052000000000002,34.02200000000001
Country_Italy,0.25,19.590000000000025,8.776,28.616000000000025
food::Pasta,0.21,13.910000000000037,7.236,21.356000000000037
abv_num_mid,0.22,15.750000000000039,5.1560000000000015,21.12600000000004
Elaborate_Assemblage/Blend,0.25,16.20000000000002,3.272000000000002,19.722000000000023
Type_White,0.19,12.060000000000034,4.940000000000002,17.190000000000037
grape::Pinot Noir,0.15,6.659999999999994,9.291999999999996,16.10199999999999
Country_France,0.19,7.679999999999992,5.963999999999995,13.833999999999987
food::Appetizer,0.18,7.739999999999991,4.216000000000002,12.135999999999992
food::Vegetarian,0.18,6.959999999999992,4.032000000000002,11.171999999999993
Country_Other,0.18,7.289999999999992,2.1040000000000014,9.573999999999993
food::Shellfish,0.17,6.209999999999994,2.772000000000001,9.151999999999994
Country_United States,0.13,4.429999999999997,2.7960000000000016,7.355999999999998
food::Snack,0.14,2.8299999999999987,3.152000000000002,6.122000000000001
food::Maturated Cheese,0.14,2.839999999999999,3.132000000000002,6.112000000000001
food::Pork,0.14,2.54,2.5800000000000014,5.260000000000002
Country_Portugal,0.14,2.739999999999999,1.1600000000000004,4.039999999999999
Body_Very full-bodied,0.12,2.020000000000001,1.0720000000000003,3.2120000000000015
grape::Cabernet Sauvignon,0.11,1.4000000000000004,1.5840000000000007,3.094000000000001
grape::Chardonnay,0.09,1.560000000000001,0.576,2.226000000000001
grape::Nebbiolo,0.05,0.05,1.6840000000000013,1.7840000000000014
grape::Merlot,0.09,0.7500000000000002,0.7160000000000002,1.5560000000000005
has_non_vintage,0.1,0.9400000000000002,0.5079999999999999,1.548
Type_Rosé,0.08,0.55,0.476,1.1059999999999999
Body_Light-bodied,0.09,0.54,0.156,0.786
grape::Syrah/Shiraz,0.07,0.27999999999999997,0.43199999999999994,0.7819999999999999
Type_Sparkling,0.07,0.27999999999999997,0.288,0.6379999999999999
Type_Dessert,0.08,0.33,0.096,0.506
grape::Petit Verdot,0.05,0.05,0.3,0.4
grape::Cabernet Franc,0.05,0.05,0.3,0.4
latest_vintage_high,0.06,0.11,0.2,0.37
grape::Tinta Roriz,0.05,0.05,0.252,0.352
Type_Dessert/Port,0.05,0.05,0.236,0.33599999999999997
grape::Touriga Franca,0.05,0.05,0.236,0.33599999999999997
grape::Grenache,0.05,0.1,0.06,0.21000000000000002
grape::Touriga Nacional,0.05,0.05,0.108,0.20800000000000002
Elaborate_Varietal/>75%,0.05,0.05,0.06,0.16
Elaborate_Assemblage/Bordeaux Red Blend,0.04,0.0,0.112,0.152
Country_Australia,0.04,0.0,0.048,0.088
Country_Chile,0.04,0.0,0.048,0.088
region_clean_Douro,0.04,0.0,0.048,0.088
region_clean_Porto,0.03,0.0,0.0,0.03
region_clean_Willamette Valley,0.03,0.0,0.0,0.03
region_clean_Barolo,0.03,0.0,0.0,0.03
region_clean_Langhe,0.03,0.0,0.0,0.03
Country_Germany,0.03,0.0,0.0,0.03
region_clean_Vinho Verde,0.03,0.0,0.0,0.03
Elaborate_Assemblage/Valpolicella Red Blend,0.02,0.0,0.0,0.02
Elaborate_Assemblage/Portuguese Red Blend,0.02,0.0,0.0,0.02
Elaborate_Assemblage/Provence Rosé Blend,0.02,0.0,0.0,0.02
Elaborate_Other,0.02,0.0,0.0,0.02
region_clean_Lisboa,0.02,0.0,0.0,0.02
Acidity_Low,0.01,0.0,0.0,0.01
Body_Very light-bodied,0.01,0.0,0.0,0.01
