intent,support,delta_stability
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': NOT({'Chile', 'Australia', 'Germany', 'Spain'}), 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",10,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",9,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",9,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': NOT({'Chile', 'Australia', 'Germany', 'Spain'}), 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",9,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': NOT({'Chile', 'Australia', 'Germany', 'Spain'}), 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",9,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",8,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",8,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'Portugal', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': NOT({'Chile', 'Australia', 'Germany', 'Spain'}), 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",8,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Portugal', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'Portugal', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",7,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Other', 'Portugal', 'France', 'United States'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': NOT({'Chile', 'Australia', 'Germany', 'Spain'}), 'LatestVintage': [2020.0, 2022.0], 'Type': {'Red', 'Dessert', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Portugal', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Portugal', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red', 'Rosé'}}",6,
